Value
acc,0.625
fdr,0.7444
fnr,0.7604
foRate,0.2577
fpr,0.2556
mcc,-0.0184
npv,0.7423
ppv,0.2556
tnr,0.7444
tpr,0.2396
ts,0.1254
ba,0.492
bm,-0.016
f1,0.2831
fm,0.2853
mk,-0.0158
pt,0.5075
